"h3_id","count_traffic","mean_speed","scale"
"8a6ad8c0206ffff","1.0","58.4423","5"
"8a6ad8c02ba7fff","1.0","50.3478","5"
"8a6ad8c004a7fff","1.0","59.7892","5"
"8a6adea48377fff","1.0","50.0076","5"
"8a6ad8c02907fff","1.0","53.5878","5"
"8a6ad8c34d47fff","1.0","54.6176","5"
"8a6ad8c34d4ffff","1.0","50.3835","5"
"8a6ad8c34c67fff","1.0","54.89","5"
"8a6ad8c006affff","1.0","59.4818","5"
"8a6ad8c0292ffff","1.0","54.1022","5"
"8a6ad8c062d7fff","1.0","54.7154","5"
"8a6ad8c02ab7fff","1.0","52.6495","5"
"8a6ad8c02b97fff","1.0","56.3218","5"
"8a6ad8c34d77fff","1.0","51.5069","5"
"8a6ad8c02377fff","1.0","53.1201","5"
"8a6ad8c0068ffff","1.0","58.6485","5"
"8a6ad8c006a7fff","1.0","58.349","5"
"8a6ad8c02337fff","1.0","54.8516","5"
"8a6ad8c34897fff","1.0","52.4448","5"
"8a6ad8c02b9ffff","1.0","50.7903","5"
"8a6ad8c02a9ffff","1.0","53.9358","5"
"8a6ad8c34d27fff","1.0","57.8533","5"
"8a6ad8c34d07fff","1.0","57.6885","5"
"8a6ad8c02b2ffff","0.5","56.3185","5"
"8a6ad8c34d2ffff","1.0","58.9871","5"
"8a6ad8d1285ffff","1.0","50.0456","5"
"8a6ad8dad707fff","7.7619","54.5409","5"
"8a6ad8dad727fff","7.5714","55.7423","5"
"8a6ad8dad6cffff","1.1429","55.734","5"
"8a6ad8dad8d7fff","1.0","58.2665","5"
"8a6ad8dad71ffff","7.9048","57.6109","5"
"8a6ad8c33d97fff","1.0","54.7148","5"
"8a6ad8dad08ffff","7.3333","58.6588","5"
"8a6ad8dad01ffff","6.619","51.2847","5"
"8a6ad8c34d0ffff","1.0","54.4867","5"
"8a6ad8d0ba67fff","1.0","54.4497","5"
"8a6ad8dad15ffff","8.2381","54.7762","5"
"8a6ad8d12877fff","6.7619","53.6228","5"
"8a6ad8dad977fff","8.5238","57.6471","5"
"8a6ad8dad947fff","7.4286","55.4989","5"
"8a6ad8dad0affff","7.8571","55.3746","5"
"8a6ad8d12847fff","6.5714","53.2125","5"
"8a6ad8da914ffff","1.0","53.208","5"
"8a6ad8dad607fff","1.0","56.5429","5"
"8a6ad8dad017fff","8.1905","59.3184","5"
"8a6ad8c1422ffff","12.4762","58.4298","5"
"8a6ad8d140b7fff","4.381","55.1416","5"
"8a6ad8d1284ffff","6.9524","50.6172","5"
"8a6ad8dad95ffff","8.3333","52.8713","5"
"8a6ad8d1282ffff","5.5238","57.3428","5"
"8a6ad8d1418ffff","1.2857","53.8592","5"
"8a6ad8dad8dffff","8.1905","58.0253","5"
"8a6ad8dad637fff","7.8571","56.5532","5"
"8a6ad8d1454ffff","6.8571","50.1227","5"
"8a6ad8d1456ffff","2.0625","56.6085","5"
"8a6ad8dad957fff","2.2778","58.4002","5"
"8a6ad8dad177fff","9.0476","56.5208","5"
"8a6ad8dad6effff","9.5238","53.9837","5"
"8a6ad8c362effff","1.3333","50.9356","5"
"8a6ad8dad157fff","4.5238","55.4742","5"
"8a6ad8d14467fff","7.0952","51.5675","5"
"8a6ad8dad007fff","1.3846","59.0058","5"
"8a6ad8dad8c7fff","8.9048","52.2662","5"
"8a6ad8dad7affff","1.9286","56.1005","5"
"8a6ad8da9a4ffff","1.0","51.2555","5"
"8a6ad8c32a5ffff","1.0","51.3793","5"
"8a6ad8dad147fff","2.9524","55.0391","5"
"8a6ad8d132dffff","8.0","50.7974","5"
"8a6ad8d1419ffff","6.5238","53.8458","5"
"8a6ad8c33ceffff","15.8095","59.7026","5"
"8a6ad8dad6e7fff","9.5714","56.4741","5"
"8a6ad8d162f7fff","1.25","50.1332","5"
"8a6ad8d13717fff","3.9","57.2678","5"
"8a6ad8dad877fff","8.619","57.7413","5"
"8a6ad8dad60ffff","5.1429","55.2524","5"
"8a6ad8c1435ffff","6.1429","53.6173","5"
"8a6ad8d132d7fff","5.4762","51.2575","5"
"8a6ad8c33ce7fff","6.619","55.0089","5"
"8a6ad8d14447fff","6.8571","56.6301","5"
"8a6ad8c36a57fff","9.7143","59.2057","5"
"8a6ad8dad92ffff","4.6667","55.3872","5"
"8a6ad8c14adffff","16.8095","59.4837","5"
"8a6ad8dad00ffff","8.4286","54.4551","5"
"8a6ad8dad867fff","6.0","53.9657","5"
"8a6ad8d13637fff","7.2381","55.9105","5"
"8a6ad8da99b7fff","8.7619","57.1861","5"
"8a6ad8d12b17fff","7.2857","50.6369","5"
"8a6ad8d14137fff","7.3333","58.0433","5"
"8a6ad8dad857fff","8.7143","58.8472","5"
"8a6ad8c33cc7fff","9.619","51.9354","5"
"8a6ad8c36b5ffff","8.8571","52.709","5"
"8a6ad8d12957fff","6.9524","54.5296","5"
"8a6ad8c32a27fff","1.0","58.2717","5"
"8a6ad8d13407fff","5.619","54.4577","5"
"8a6ad8dad077fff","9.0476","55.3854","5"
"8a6ad8c34d97fff","1.3571","56.3192","5"
"8a6ad8c14367fff","2.7","53.459","5"
"8a6ad8c14a8ffff","11.3333","57.8327","5"
"8a6ad8d137affff","7.6667","54.1493","5"
"8a6ad8d13417fff","6.5714","57.5896","5"
"8a6ad8d16adffff","2.0","59.2098","5"
"8a6ad8d14187fff","4.95","52.8009","5"
"8a6ad8d12947fff","7.0476","54.2897","5"
"8a6ad8dad61ffff","8.4286","57.1226","5"
"8a6ad8c33cf7fff","15.4286","52.3832","5"
"8a6ad8c36ac7fff","8.7619","54.332","5"
"8a6ad8d1340ffff","7.4762","52.2477","5"
"8a6ad8da9997fff","9.3333","58.8012","5"
"8a6ad8d1358ffff","7.1905","56.5277","5"
"8a6ad8c14377fff","17.0476","57.1898","5"
"8a6ad8c344d7fff","9.3333","56.9601","5"
"8a6ad8c14357fff","17.2857","59.0532","5"
"8a6ad8d1341ffff","2.2632","52.0867","5"
"8a6ad8c14ad7fff","16.9524","51.2989","5"
"8a6ad8c05ae7fff","1.0","51.2411","5"
"8a6ad8d13627fff","6.1429","51.3757","5"
"8a6ad8d1445ffff","6.9048","58.6865","5"
"8a6ad8c3441ffff","8.6667","55.6211","5"
